Currstock|ProductID|SubDepartmentID|SellingPrice|VatCode|Description|AltDescription|PackSize|CurrentStock|MinimumStock|LabelType|StockOnOrder|PosTextl|ShelfLableText|DiscountGroup|DiscountAmount|DiscountPercent|Price2|Price3|Price4|Bomm|UofMQty|Unit|AvgCost|DepartmentID|LinkNumber|Weight|SoldInCases|ProductType|SeasonId|RoundingMethod|Inactive|ContentsQty|UnitOfMeasure|UnitOfMeasurePPU|InheritOrderParams|IdealStock|CoverDays|UseTargetMargin|WeightItem|ProdNo|SoFormula|Deleted|CourseID|Purpose|DiaWeight|LabelCount|UsePIDTargetMargin|PIDTargetMargin|BOMType|BOMShowOnReceipt|BOMUseCostPrice|BOMProduction|KPInheritFromSubDep|NotForSale|Price5|Price6|StockUnitID|StockUOM|BaseUnitID|BasePrice|ProductCat|PackUOM|PackUnitID|CompUOM|CompUnitID|IngredientPID|BOMForecast|MaxiPrice|DepositPID|NoStock|ExternalType|ExternalCode|IsSecondaryVAT|DepositPID2|ProductCat2|PrimaryVATText|SecondaryVATText|BOSubDepartmentSubDepartmentID|BOSubDepartmentDepartmentID|BOSubDepartmentDescription|BOSubDepartmentVatCode|BOSubDepartmentTargetMargin|BOSubDepartmentIdealStock|BOSubDepartmentMinimumStock|BOSubDepartmentSOFormula|BOSubDepartmentCoverDays|BOSubDepartmentTargetGoodWastagePct|BOSubDepartmentIGCode_Default|BOSubDepartmentMinVisStock|BOSubDepartmentAge|BOSubDepartmentLocalItemsAllow|BODepartmentDepartmentID|BODepartmentDescription|BODepartmentIGCode_Default|BOVatRatesVatCode|BOVatRatesVatRate|BOBarCodeBarCode|BOProductSumOnOrder|BOProductSumSalesLastWeek|BOProductSumSalesYTD|BOProductSumSalesAVG|BOProductSumSellingPrice|BOProductSumCaseQty|BOProductSumCaseCostPrice|BOProductSumMaxPrice|ProductCategoryNumber|ProductCategorysValue1|UnitConvertFromUnitID|UnitConvertToUnitID|UnitConvertFactor|UnitConvertDeleted|UnitConvertLastChanged|UnitConvertUserID|BOProductAVGCostCalculatedAvgCost|BOProductAVGCostAvgCost|BOProductAVGCostLatestCost|BOVatRatesVatCode|BOVatRatesVatRate|BOVatRatesText|BOSupplierProductSupplierID|BOSupplierProductPrimarySupplier|BOSupplierProductSupplierProductID|BOSupplierProductCaseQuantity|BOSupplierProductRecRetailPrice|BOSupplierProductMaxOrderQty|BOSupplierProductMinOrderQty|BOSupplierProductSplitCaseOrder|BOSupplierProductCaseCostPrice|BOSupplierProductWHCaseQty|BOSupplierProductCaseCostPrice2|BOSupplierProductOrderUOM|BOSupplierProductOrderUnitID|BOSupplierProductOrderPack|BOSupplierProductUseStockUnitInGR|BOSupplierProductStockUnitCost|BOSupplierProductCurrCaseCostPrice|BOSupplierProductBaseUnitCost|BOSupplierProductDepositValue|BOSupplierSupplierID|BOSupplierSupplierName|BOSupplierDeleted|BOSupplierCostPricesSupplierID|BOSupplierCostPricesProductID|BOSupplierCostPricesStoreID|BOSupplierCostPricesCaseCostPrice|BOSupplierCostPricesCaseQty|UnitConvert2FromUnitID|UnitConvert2ToUnitID|UnitConvert2Factor|UnitConvert3FromUnitID|UnitConvert3ToUnitID|UnitConvert3Factor|BOProductCategoryText|BOProductCategory2Value|BOProductCategory2Text|UnitCost|Barcode|TargetMargin|BOStockSUMCalculatedCurrStock
0|C00000000009971|502101|0.6|1|SCSs Extra Syrup NHW 0.60|SCSs Extra Syrup NHW 0.60||0|0|M|0|null|Extra Syrup NHW 0.60|0|0.0|0|0.0|0.0|0.0| |1|EACH|null|5021|0|0.0|false|   |null|0|false|0|||false|0|0|false|false|null|1|false|0||0.0|1|true|0|0|0|0.0|0|true|false|0.0|0.0|EACH|1|EACH|0.6|3206|1||1||false|false|0.6||false|0||false|null|null|null|null|502101|5021|Hot Drinks|1|0|0|0|1|0|null|13|0|0|true|5021|Food|13|1|9||0|0|0|0.0|0.6|1|0.05|0.6|3206|SNACKS L|EACH|EACH|1|false|2019-10-30 22:02:09.913|ADMIN|0.0|0.05|0.05|1|9|9% (1)|C000000010|true|372308|1|0.0|0|0|false|0.05|1|0.0|1|EACH||false|0.05|0.05|0.05|0|C000000010|Deli2Go Coffee (Dummy)|false|C000000010|C00000000009971|0848|0.05|1|EACH|EACH|1|EACH|EACH|1||null||0.0||0|0
0|C0000013385|502405|3.0|1|SC Reusable Travel Mug Wheat|SC Reusable Travel Mug Wheat|null|null|null|M|null|null|SC Reusable Travel Mug Wheat|null|null|null|null|null|null|null|1|EACH|null|5024|null|null|false|null|null|null|false|null|null|null|false|null|null|false|false|null|null|false|0|null|null|1|true|null|0|0|0.0|0|true|false|0.0|0.0|EACH|1|EACH|0.0|6019|1||1||false|false|3.0|null|false|0|null|false|null|null|null|null|502405|5024|Other Non-Food|1|0|0|0|1|0|null|13|0|0|false|5024|Non-Food|13|1|9||0|0|0|0.0|3.0|1|2.25|3.0|6019|SPECIALITEITEN H|EACH|EACH|1|false|2019-10-30 22:02:09.913|ADMIN|0.0|2.25|2.25|1|9|9% (1)|C000000010|false|374516|1|0.0|0|0|false|0.0|1|0.0|0|||false|0.0|0.0|0.0|null|C000000010|Deli2Go Coffee (Dummy)|false|C000000010|C0000013385|0848|0.0|1|EACH||1|EACH|EACH|1||null||0.0||0|0
0|C00000000009953|502101|2.3|1|SCSs Thee HW 2.30|SCSs Thee HW 2.30||0|0|M|0|null|SCSs Thee HW 2.30|0|0.0|0|0.0|0.0|0.0| |1|EACH|null|5021|0|0.0|false|   |null|0|false|0|||false|0|0|false|false|null|1|false|0||0.0|1|true|0|0|0|0.0|0|true|false|0.0|0.0|EACH|1|EACH|2.3|3206|1||1||false|false|2.3||false|0||false|null|null|null|null|502101|5021|Hot Drinks|1|0|0|0|1|0|null|13|0|0|true|5021|Food|13|1|9||0|0|0|0.0|2.3|1|0.12|2.3|3206|SNACKS L|EACH|EACH|1|false|2019-10-30 22:02:09.913|ADMIN|0.0|0.12|0.12|1|9|9% (1)|C000000010|true|372292|1|0.0|0|0|false|0.12|1|0.0|1|EACH||false|0.12|0.12|0.12|0|C000000010|Deli2Go Coffee (Dummy)|false|C000000010|C00000000009953|0848|0.12|1|EACH|EACH|1|EACH|EACH|1||null||0.0||0|0
0|C00000000009955|502101|0.6|1|SCSs Extra Syrup HW 0.60|SCSs Extra Syrup HW 0.60||0|0|M|0|null|Extra Syrup HW 0.60|0|0.0|0|0.0|0.0|0.0| |1|EACH|null|5021|0|0.0|false|   |null|0|false|0|||false|0|0|false|false|null|1|false|0||0.0|1|true|0|0|0|0.0|0|true|false|0.0|0.0|EACH|1|EACH|0.6|3206|1||1||false|false|0.6||false|0||false|null|null|null|null|502101|5021|Hot Drinks|1|0|0|0|1|0|null|13|0|0|true|5021|Food|13|1|9||0|0|0|0.0|0.6|1|0.05|0.6|3206|SNACKS L|EACH|EACH|1|false|2019-10-30 22:02:09.913|ADMIN|0.0|0.05|0.05|1|9|9% (1)|C000000010|true|372294|1|0.0|0|0|false|0.05|1|0.0|1|EACH||false|0.05|0.05|0.05|0|C000000010|Deli2Go Coffee (Dummy)|false|C000000010|C00000000009955|0848|0.05|1|EACH|EACH|1|EACH|EACH|1||null||0.0||0|0
0|C0000013385|502405|3.0|1|SC Reusable Travel Mug Wheat|SC Reusable Travel Mug Wheat|null|null|null|M|null|null|SC Reusable Travel Mug Wheat|null|null|null|null|null|null|null|1|EACH|null|5024|null|null|false|null|null|null|false|null|null|null|false|null|null|false|false|null|null|false|0|null|null|1|true|null|0|0|0.0|0|true|false|0.0|0.0|EACH|1|EACH|0.0|6019|1||1||false|false|3.0|null|false|0|null|false|null|null|null|null|502405|5024|Other Non-Food|1|0|0|0|1|0|null|13|0|0|false|5024|Non-Food|13|1|9||0|0|0|0.0|3.0|1|2.25|3.0|6019|SPECIALITEITEN H|EACH|EACH|1|false|2019-10-30 22:02:09.913|ADMIN|0.0|2.25|2.25|1|9|9% (1)|C000000010|false|374516|1|0.0|0|0|false|0.0|1|0.0|0|||false|0.0|0.0|0.0|null|C000000010|Deli2Go Coffee (Dummy)|false|C000000010|C0000013385|0848|0.0|1|EACH||1|EACH|EACH|1||null||0.0||0|0
